drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB11712,Tezacaftor,CHEMBL2063,Ceramide glucosyltransferase,Compound::DB11712,Gene::7357,10091,1065,0.901957568445218,esm2_only
DB12015,Alpelisib,CHEMBL4794,Transient receptor potential cation channel subfamily V member 1,Compound::DB12015,Gene::7442,5202,2239,0.9019553605480252,esm2_only
DB00157,NADH,CHEMBL205,Carbonic anhydrase 2,Compound::DB00157,Gene::760,4906,1989,0.9018292095960648,esm2_only
DB15490,Zuranolone,CHEMBL2034,Glucocorticoid receptor,Compound::DB15490,Gene::2908,5110,293,0.9018190749942194,esm2_only
DB08816,Ticagrelor,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB08816,Gene::3350,5640,2164,0.9013628483096668,esm2_only
DB11742,Ebastine,CHEMBL264,Histamine H3 receptor,Compound::DB11742,Gene::57538,11357,24087,0.9011663770437146,esm2_only
DB12267,Brigatinib,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB12267,Gene::5152,4326,1843,0.9011133731339964,esm2_only
DB00634,Sulfacetamide,CHEMBL205,Carbonic anhydrase 2,Compound::DB00634,Gene::760,10317,1989,0.9008471020865588,esm2_only
DB08834,Tauroursodeoxycholic acid,CHEMBL2034,Glucocorticoid receptor,Compound::DB08834,Gene::2908,1491,293,0.900660207677454,esm2_only
DB06595,Midostaurin,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB06595,Gene::3350,5294,2164,0.9006579122112227,esm2_only
DB02925,Piretanide,CHEMBL205,Carbonic anhydrase 2,Compound::DB02925,Gene::760,2186,1989,0.9003191443186142,esm2_only
