drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source,score_esm2,score_drkg
DB15328,Ubrogepant,CHEMBL2014,Nociceptin receptor,Compound::DB15328,Gene::4987,10560,1866,0.9259457928371656,both,0.9281673622218825,0.9237242234524488
DB01319,Fosamprenavir,CHEMBL205,Carbonic anhydrase 2,Compound::DB01319,Gene::760,206,1989,0.925852708524438,both,0.9340446528992788,0.9176607641495972
DB01144,Diclofenamide,CHEMBL205,Carbonic anhydrase 2,Compound::DB01144,Gene::760,3384,1989,0.9255197956800215,both,0.9369364061363432,0.9141031852236998
DB06636,Isavuconazonium,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB06636,Gene::7786,11821,3956,0.9244512893978021,both,0.9147059257301782,0.934196653065426
DB11718,Encorafenib,CHEMBL205,Carbonic anhydrase 2,Compound::DB11718,Gene::760,4058,1989,0.9242928058642437,both,0.9191517972173656,0.9294338145111216
DB09195,Lorpiprazole,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB09195,Gene::3350,5125,2164,0.9241485907449509,both,0.9203196364666544,0.9279775450232476
DB14541,Hydrocortisone cypionate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14541,Gene::2908,7576,293,0.9239619471361535,both,0.9085294276512452,0.939394466621062
DB06813,Pralatrexate,CHEMBL205,Carbonic anhydrase 2,Compound::DB06813,Gene::760,6381,1989,0.9237711171631184,both,0.9437997131863786,0.9037425211398584
DB12026,Voxilaprevir,CHEMBL2034,Glucocorticoid receptor,Compound::DB12026,Gene::2908,258,293,0.9235518803308265,both,0.9240106998476406,0.9230930608140124
DB14766,Etrasimod,CHEMBL2034,Glucocorticoid receptor,Compound::DB14766,Gene::2908,5514,293,0.9232416673591117,both,0.925504081262979,0.9209792534552445
DB11581,Venetoclax,CHEMBL245,Muscarinic acetylcholine receptor M3,Compound::DB11581,Gene::1131,4942,1949,0.9231183058811983,both,0.9243149904253058,0.9219216213370908
DB00251,Terconazole,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB00251,Gene::7786,1862,3956,0.9231037590411997,both,0.919692312063689,0.9265152060187104
DB08815,Lurasidone,CHEMBL2014,Nociceptin receptor,Compound::DB08815,Gene::4987,1602,1866,0.9229970078097708,both,0.9218990307666396,0.924094984852902
DB00220,Nelfinavir,CHEMBL2014,Nociceptin receptor,Compound::DB00220,Gene::4987,262,1866,0.9227767469592738,both,0.9228475322203188,0.9227059616982288
DB14019,Fosnetupitant,CHEMBL205,Carbonic anhydrase 2,Compound::DB14019,Gene::760,12193,1989,0.9221593120462124,both,0.9204811421927293,0.9238374818996956
DB13941,Piperaquine,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB13941,Gene::3350,11345,2164,0.9220716463676372,both,0.924332400185008,0.9198108925502664
