drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source
DB11712,Tezacaftor,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB11712,Gene::3350,10091,2164,0.907110148659714,drkg_only
DB15569,Sotorasib,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB15569,Gene::3350,14956,2164,0.9068592944687408,drkg_only
DB15569,Sotorasib,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB15569,Gene::3350,14956,2164,0.9068592944687408,drkg_only
DB01608,Periciazine,CHEMBL264,Histamine H3 receptor,Compound::DB01608,Gene::57538,3390,24087,0.9068496947551378,drkg_only
DB14766,Etrasimod,CHEMBL2063,Ceramide glucosyltransferase,Compound::DB14766,Gene::7357,5514,1065,0.9068403191351642,drkg_only
DB13158,Clobetasone,CHEMBL2034,Glucocorticoid receptor,Compound::DB13158,Gene::2908,5739,293,0.9067773383913608,drkg_only
DB11581,Venetoclax,CHEMBL205,Carbonic anhydrase 2,Compound::DB11581,Gene::760,4942,1989,0.9067110436963314,drkg_only
DB01263,Posaconazole,CHEMBL2014,Nociceptin receptor,Compound::DB01263,Gene::4987,3948,1866,0.9064864140175024,drkg_only
DB01264,Darunavir,CHEMBL2034,Glucocorticoid receptor,Compound::DB01264,Gene::2908,382,293,0.9064737475816892,drkg_only
DB12597,Asciminib,CHEMBL2063,Ceramide glucosyltransferase,Compound::DB12597,Gene::7357,2416,1065,0.906331100096608,drkg_only
DB08934,Sofosbuvir,CHEMBL2034,Glucocorticoid receptor,Compound::DB08934,Gene::2908,226,293,0.906206273534088,drkg_only
DB01106,Levocabastine,CHEMBL264,Histamine H3 receptor,Compound::DB01106,Gene::57538,5907,24087,0.9059292457440066,drkg_only
DB13213,Butaperazine,CHEMBL264,Histamine H3 receptor,Compound::DB13213,Gene::57538,12026,24087,0.9059290850993252,drkg_only
DB14766,Etrasimod,CHEMBL214,5-hydroxytryptamine receptor 1A,Compound::DB14766,Gene::3350,5514,2164,0.9059223597282744,drkg_only
DB14766,Etrasimod,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,Compound::DB14766,Gene::3350,5514,2164,0.9059223597282744,drkg_only
DB00549,Zafirlukast,CHEMBL205,Carbonic anhydrase 2,Compound::DB00549,Gene::760,1470,1989,0.9054573457014274,drkg_only
DB11363,Alectinib,CHEMBL2014,Nociceptin receptor,Compound::DB11363,Gene::4987,3681,1866,0.9053977257603336,drkg_only
DB11574,Elbasvir,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB11574,Gene::7786,3862,3956,0.904612252554086,drkg_only
DB00873,Loteprednol,CHEMBL2034,Glucocorticoid receptor,Compound::DB00873,Gene::2908,1670,293,0.9040972009978449,drkg_only
DB01063,Acetophenazine,CHEMBL264,Histamine H3 receptor,Compound::DB01063,Gene::57538,4080,24087,0.9038335450515584,drkg_only
DB11761,Tenapanor,CHEMBL245,Muscarinic acetylcholine receptor M3,Compound::DB11761,Gene::1131,14897,1949,0.9033002051598644,drkg_only
DB11581,Venetoclax,CHEMBL2034,Glucocorticoid receptor,Compound::DB11581,Gene::2908,4942,293,0.9032234873306844,drkg_only
DB14860,Ensartinib,CHEMBL205,Carbonic anhydrase 2,Compound::DB14860,Gene::760,4843,1989,0.9032127523843462,drkg_only
