drug_name,target_name,drug_id,target_id,rf_score,rank,ntype,entity_name,importance
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,8,Compound,Compound::DB00750,0.6379708051681519
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,9,Gene,Gene::3329,0.6251571774482727
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,10,Gene,Gene::2147,0.6189329028129578
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,11,Compound,Compound::CHEBI:17544,0.4494914710521698
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,12,Compound,Compound::DB14533,0.4377613961696625
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,13,Compound,Compound::DB00259,0.4359673261642456
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,14,Compound,Compound::DB00634,0.43503543734550476
Mafenide,Carbonic anhydrase 2,DB06795,CHEMBL205,0.9597678430373808,15,Gene,Gene::344752,0.4243607223033905
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,1,Gene,Gene::1234,1.6916537284851074
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,2,Gene,Gene::1576,1.0734611749649048
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,3,Gene,Gene::56654,0.9242856502532959
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,4,Disease,Disease::MESH:D015658,0.8943427801132202
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,5,Gene,Gene::5368,0.4595063328742981
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,6,Compound,Compound::MESH:C096012,0.3146357238292694
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,7,Gene,Gene::9737,0.3071652352809906
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,8,Gene,Gene::57192,0.30204689502716064
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,9,Gene,Gene::10695,0.30204689502716064
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,10,Gene,Gene::23131,0.30204689502716064
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,11,Disease,Disease::MESH:D001172,0.26793864369392395
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,12,Compound,Compound::MESH:C433236,0.20253822207450867
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,13,Gene,Gene::1318,0.18613965809345245
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,14,Compound,Compound::DB00921,0.18157638609409332
Maraviroc,Nociceptin receptor,DB04835,CHEMBL2014,0.9575747519220452,15,Gene,Gene::5728,0.1735115796327591
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,1,Compound,Compound::DB00703,1.313613772392273
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,2,Gene,Gene::1576,1.2647228240966797
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,3,Gene,Gene::11826,0.6832677721977234
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,4,Gene,Gene::619501,0.6627943515777588
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,5,Disease,Disease::DOID:1826,0.660685122013092
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,6,Disease,Disease::DOID:1686,0.660685122013092
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,7,Disease,Disease::MESH:D007022,0.6600647568702698
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,8,Disease,Disease::MESH:C562689,0.6600647568702698
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,9,Gene,Gene::361,0.6568105816841125
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,10,Gene,Gene::2147,0.5848274827003479
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,11,Gene,Gene::3329,0.5822349190711975
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,12,Compound,Compound::CHEBI:17544,0.43030890822410583
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,13,Gene,Gene::362686,0.42259445786476135
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,14,Gene,Gene::10153,0.42259445786476135
Acetazolamide,Carbonic anhydrase 2,DB00819,CHEMBL205,0.9569006212523068,15,Gene,Gene::759,0.4117857813835144
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,1,Gene,Gene::3757,0.5108749866485596
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,2,Gene,Gene::11255,0.5108749866485596
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,3,Disease,Disease::MESH:D009290,0.4554222822189331
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,4,Disease,Disease::MESH:D000077260,0.4554222822189331
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,5,Gene,Gene::59340,0.29996615648269653
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,6,Gene,Gene::132158,0.2888889014720917
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,7,Gene,Gene::3269,0.2856122851371765
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,8,Gene,Gene::3274,0.2856122851371765
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,9,Gene,Gene::4609,0.2764522433280945
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,10,Gene,Gene::1544,0.27181538939476013
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,11,Gene,Gene::1565,0.27181538939476013
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,12,Gene,Gene::1576,0.27181538939476013
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,13,Gene,Gene::1555,0.27181538939476013
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,14,Disease,Disease::MESH:D009202,0.2655622065067291
Pitolisant,Histamine H3 receptor,DB11642,CHEMBL264,0.9568140046693696,15,Gene,Gene::9451,0.1436709463596344
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,1,Disease,Disease::MESH:D001943,0.9188512563705444
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,2,Disease,Disease::MESH:D009101,0.8975852727890015
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,3,Gene,Gene::1019,0.8545006513595581
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,4,Gene,Gene::1021,0.6860798597335815
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,5,Gene,Gene::5609,0.5390512347221375
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,6,Gene,Gene::213,0.46566131711006165
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,7,Gene,Gene::5004,0.46566131711006165
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,8,Gene,Gene::1019;1021,0.46513575315475464
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,9,Compound,Compound::CHEMBL290352,0.4048035442829132
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,10,Gene,Gene::1956,0.38815563917160034
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,11,Disease,Disease::MESH:D003920,0.36158183217048645
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,12,Compound,Compound::DB12010,0.3594551086425781
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,13,Disease,Disease::MESH:D009410,0.33354121446609497
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,14,Disease,Disease::MESH:D013274,0.33171090483665466
Abemaciclib,Mitogen-activated protein kinase kinase kinase 12,DB12001,CHEMBL1908389,0.9548726486115888,15,Disease,Disease::MESH:D015535,0.32775527238845825
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,1,Disease,Disease::MESH:D006976,0.8962719440460205
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,2,Compound,Compound::DB04868,0.8962417840957642
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,3,Compound,Compound::DB00619,0.8776598572731018
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,4,Gene,Gene::5243,0.8728928565979004
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,5,Gene,Gene::5609,0.5715550184249878
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,6,Compound,Compound::CHEMBL290352,0.4526636600494385
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,7,Compound,Compound::DB12010,0.40084248781204224
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,8,Gene,Gene::1956,0.39468246698379517
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,9,Disease,Disease::MESH:D003920,0.3712722659111023
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,10,Disease,Disease::MESH:C563663,0.3500805199146271
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,11,Disease,Disease::MESH:D015535,0.3497387766838074
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,12,Disease,Disease::MESH:D013274,0.32980281114578247
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,13,Disease,Disease::MESH:D009410,0.3218784034252167
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,14,Gene,Gene::1576,0.284595251083374
Ponatinib,Mitogen-activated protein kinase kinase kinase 12,DB08901,CHEMBL1908389,0.9537183529062,15,Gene,Gene::1432,0.26544445753097534
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,1,Disease,Disease::MESH:D009293,0.9958188533782959
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,2,Gene,Gene::5617,0.9907894730567932
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,3,Gene,Gene::1565,0.9865270853042603
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,4,Disease,Disease::MESH:D020258,0.9407740831375122
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,5,Disease,Disease::MESH:D014123,0.9300854206085205
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,6,Gene,Gene::6531,0.560585618019104
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,7,Gene,Gene::406924,0.5446658134460449
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,8,Compound,Compound::DB06800,0.49904197454452515
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,9,Compound,Compound::DB01192,0.4773420989513397
Buprenorphine,Mu-type opioid receptor,DB00921,CHEMBL233,0.9526545801442754,10,Gene,Gene::79971,0.43623143434524536
